Key.enter,,0
a,1259.56591796875,
'a',,0
w,400.841552734375,
'w',,0
s,208.672607421875,
d,112.770263671875,
's',,0
a,143.21875,
'd',,0
w,48.29638671875,
d,72.061767578125,
'a',,851
'w',,522
a,105.138427734375,
'd',,225
d,80.3857421875,
'a',,209
w,56.732666015625,
'd',,170
a,105.947998046875,
d,16.009521484375,
'w',,339
'd',,113
'a',,234
d,128.556640625,
w,40.290771484375,
a,16.5283203125,
'd',,145
d,80.195068359375,
'w',,266
'a',,250
'd',,185
w,185.48388671875,
a,64.443115234375,
d,80.26123046875,
'w',,322
'a',,266
'd',,323
,441.387451171875,
'\x03',,0
,104.602783203125,
'\x03',,136
,160.887451171875,
'\x03',,129
,122.26953125,
'\x03',,146
,152.691162109375,
Key.ctrl_l,,0
'c',,0
