Key,Delta Time (ms)
M,0
y,233.78564453125
y,558.518310546875
o,108.2822265625
u,187.8125
t,94.23486328125
h,89.736328125
i,347.400146484375
s,93.107666015625
s,235.80126953125
l,76.912109375
i,201.75732421875
i,169.369140625
p,184.270751953125
p,640.323486328125
p,170.061767578125
i,139.641357421875
n,140.917724609375
g,203.223388671875
",",981.14208984375
m,265.767333984375
y,171.78125
y,467.035400390625
o,105.76416015625
u,201.22265625
t,138.572509765625
h,93.134033203125
i,436.60205078125
s,184.553955078125
s,311.305419921875
l,63.33056640625
i,171.6552734375
p,202.30908203125
p,125.219482421875
i,155.999755859375
n,108.546875
g,140.22412109375
a,162.900634765625
w,118.369140625
a,124.2978515625
y,173.6279296875
.,138.4951171875
S,402.985595703125
a,95.936279296875
f,106.093505859375
e,46.884521484375
i,233.85302734375
n,108.812744140625
m,402.65869140625
n,237.210205078125
o,169.61962890625
o,732.280029296875
n,169.33154296875
o,142.132568359375
t,155.067138671875
o,94.503662109375
n,203.030029296875
y,218.585693359375
",",155.750732421875
s,249.39501953125
o,108.46435546875
s,327.802490234375
a,62.427978515625
f,109.219482421875
e,48.0673828125
",",77.102783203125
d,298.762451171875
a,91.267822265625
y,169.1572265625
a,156.052490234375
f,80.540771484375
t,184.074951171875
e,93.886962890625
r,76.5791015625
d,625.448974609375
a,76.330078125
y,159.91064453125
.,244.543212890625
C,544.84228515625
o,171.181884765625
u,216.229248046875
n,170.258056640625
t,124.720703125
y,247.032470703125
o,79.274169921875
u,155.304443359375
r,91.30029296875
b,218.1640625
l,74.019287109375
e,111.404541015625
s,156.673583984375
s,124.520263671875
i,102.25341796875
n,114.10498046875
g,78.135498046875
s,140.260498046875
.,109.56787109375
C,402.524658203125
o,186.09619140625
l,171.843017578125
d,74.504638671875
w,175.8193359375
i,78.08642578125
n,109.04736328125
d,123.984130859375
b,277.91796875
l,32.06640625
o,154.2685546875
w,62.044189453125
s,123.8896484375
o,231.98828125
f,109.583740234375
f,139.1455078125
t,324.55859375
h,107.947265625
e,76.892578125
l,265.270263671875
a,42.677978515625
k,126.014404296875
e,93.914794921875
a,202.844970703125
n,112.635009765625
d,77.439208984375
I,454.0517578125
k,324.51318359375
n,108.945068359375
o,141.69580078125
w,92.481201171875
f,216.7958984375
r,137.980224609375
o,86.12158203125
o,582.838623046875
r,77.421630859375
s,231.62939453125
u,126.18212890625
r,71.367919921875
e,52.7421875
t,153.634521484375
h,111.64453125
a,33.88134765625
t,101.372314453125
i,575.892822265625
t,109.487548828125
',155.88525390625
s,142.177001953125
t,356.406494140625
o,56.903076171875
o,145.610107421875
l,327.861572265625
a,77.259765625
t,110.065673828125
e,62.544677734375
.,140.20947265625
C,436.34521484375
o,141.3212890625
u,184.960693359375
n,157.95703125
t,102.83056640625
y,199.636962890625
o,55.6376953125
u,155.968017578125
r,92.7158203125
b,218.822998046875
l,76.006103515625
e,111.893798828125
s,170.332275390625
s,109.10791015625
i,108.708984375
n,125.535888671875
g,121.96875
s,497.3916015625
o,263.9814453125
n,107.112548828125
o,435.831787109375
n,134.22412109375
e,113.822998046875
h,200.927734375
a,31.131591796875
n,116.53076171875
d,76.984375
.,88.625244140625
A,0
f,234.884033203125
t,218.130859375
e,185.634521484375
r,47.91748046875
r,1170.91943359375
e,93.5888671875
m,93.8427734375
o,154.043212890625
v,76.4609375
e,80.64208984375
a,624.516845703125
l,78.27880859375
f,296.57177734375
r,77.45751953125
o,78.537353515625
m,125.61181640625
t,227.7373046875
h,86.16064453125
e,108.062744140625
o,219.6123046875
v,60.9521484375
e,78.859130859375
n,78.374755859375
",",217.3896484375
t,234.7060546875
h,74.172119140625
e,107.60595703125
p,222.8310546875
i,171.2568359375
z,47.24560546875
z,185.5927734375
a,124.36572265625
i,279.623779296875
s,126.79736328125
s,232.920654296875
l,60.345458984375
i,156.801513671875
c,83.509521484375
e,87.5390625
d,118.59033203125
a,240.688720703125
n,92.68896484375
d,61.617431640625
p,308.619140625
l,110.7744140625
a,47.821533203125
c,93.51806640625
t,453.0546875
e,93.880859375
d,125.684326171875
q,329.763916015625
u,108.974853515625
i,156.970458984375
c,94.40234375
k,109.921630859375
l,469.804443359375
y,250.70751953125
i,325.767333984375
n,108.8515625
t,298.3603515625
a,436.39697265625
f,276.781982421875
l,112.669677734375
a,93.023681640625
t,107.554443359375
c,205.009521484375
a,100.374755859375
