Key,Delta Time (ms)
t,112.4228516
e,172.8178711
d,112.2788086
"""",448.5593262
",",497.0637207
a,317.3818359
n,156.534668
d,125.2028809
"""",651.4196777
u,346.7197266
n,234.2705078
t,79.28027344
r,155.2827148
u,75.27783203
e,95.01953125
t,183.4091797
o,16.00097656
l,192.5385742
i,148.7495117
f,32.23364258
e,76.12475586
"""",301.126709
i,251.0983887
n,132.2585449
t,148.4047852
h,72.02319336
e,68.27856445
w,188.6367188
o,96.27075195
r,128.2907715
l,92.29223633
d,128.2226563
d,1196.309326
"""",528.6052246
n,799.1103516
o,93.24121094
v,119.6875
e,191.4848633
l,451.2438965
i,204.1782227
t,248.2180176
i,26.0871582
c,187.1496582
s,1399.990234
t,400.7832031
i,59.99560547
c,138.8415527
"""",637.6164551
.,309.4423828
b,480.4997559
e,157.8850098
c,202.7404785
a,63.35595703
u,219.0510254
s,0.993896484
e,61.42724609
h,618.9030762
u,156.6535645
m,155.0632324
a,110.5349121
n,46.89428711
l,248.845459
i,146.1811523
v,10.06176758
e,171.2084961
s,78.74243164
a,202.3063965
r,62.99462891
e,64.22875977
c,220.7468262
o,31.94165039
m,176.5292969
p,112.2729492
o,128.1345215
s,128.9489746
e,85.21679688
d,140.9731445
i,183.7058105
n,136.7556152
o,223.9472656
r,12.01171875
e,48.55957031
c,127.6359863
p,1042.291016
r,68.19506836
e,51.84472656
c,233.1616211
e,119.8725586
i,188.2346191
i,950.6999512
s,64.01342773
e,108.4699707
l,128.1491699
y,264.722168
s,275.9094238
u,76.50268555
c,135.9519043
h,44.70678711
a,103.720459
f,581.5795898
a,94.89990234
s,92.71826172
i,80.74682617
o,64.79980469
n,112.4580078
h,1274.359131
i,249.8354492
o,76.86230469
n,144.1750488
.,192.9672852
i,0
m,283.8964844
a,192.3740234
g,127.6894531
i,80.5378418
n,144.4936523
e,124.1416016
t,316.2844238
h,80.05126953
s,344.7180176
i,796.8835449
s,111.7229004
:,345.0761719
h,488.8708496
e,264.4216309
r,44.72558594
e,96.80297852
w,220.6918945
e,87.74145508
a,217.2424316
r,92.03222656
