Key,Delta Time (ms)
i,248.771728515625
s,96.2451171875
o,234.049560546875
n,109.0068359375
l,158.1533203125
y,110.11865234375
t,170.446533203125
h,94.833740234375
e,106.468017578125
c,173.490234375
a,108.388427734375
m,61.59326171875
o,625.020263671875
m,127.02685546875
p,510.60009765625
a,108.975830078125
r,77.134033203125
i,108.6083984375
s,155.768310546875
o,91.89404296875
n,170.740478515625
o,327.3955078125
f,140.07470703125
o,946.704833984375
o,654.76220703125
n,154.207763671875
e,108.658447265625
s,390.305908203125
t,124.609130859375
a,92.466064453125
t,62.140869140625
e,77.8720703125
w,186.356201171875
i,47.156005859375
t,90.151123046875
h,79.572265625
a,291.05419921875
n,161.865478515625
o,154.529541015625
t,122.93603515625
h,56.10888671875
e,144.973876953125
r,45.6552734375
.,94.810791015625
O,591.052001953125
n,230.700439453125
l,169.92919921875
y,78.746826171875
a,256.225341796875
m,225.607421875
a,124.36962890625
n,77.643310546875
w,212.438232421875
h,176.952880859375
o,62.01171875
h,719.04541015625
a,77.31494140625
s,77.6396484375
f,231.294921875
e,65.186279296875
l,154.99560546875
t,125.837646484375
u,512.7470703125
l,233.757080078125
t,124.754638671875
i,64.123046875
m,152.142578125
a,61.778076171875
t,97.14453125
e,75.150146484375
d,186.763916015625
e,78.62255859375
s,170.82568359375
p,124.22705078125
a,137.043701171875
r,144.470703125
i,499.730712890625
r,109.05078125
i,351.89404296875
s,74.739013671875
c,194.510009765625
a,107.312255859375
p,232.234619140625
a,134.887939453125
b,247.737060546875
l,129.50390625
e,138.478271484375
o,215.1064453125
f,92.34423828125
f,168.2509765625
e,98.284912109375
e,123.847412109375
l,123.9609375
i,189.355224609375
n,124.7509765625
g,173.427001953125
u,216.7998046875
l,281.343994140625
t,170.445068359375
i,109.1767578125
m,186.747802734375
a,93.56640625
t,124.29638671875
e,76.849853515625
b,233.617919921875
l,46.614990234375
i,170.244873046875
s,92.961181640625
s,140.97119140625
.,122.766845703125
I,628.240234375
t,230.921142578125
i,280.509765625
s,157.033203125
n,278.28662109375
e,156.72802734375
s,421.1201171875
s,108.620361328125
c,434.44580078125
e,142.06005859375
s,168.299072265625
s,124.5380859375
a,140.9951171875
r,109.101318359375
y,165.435546875
t,205.9765625
o,109.66015625
h,171.288330078125
a,158.163818359375
v,60.93701171875
h,801.4091796875
a,118.56884765625
v,93.69384765625
e,92.250732421875
w,248.25341796875
i,119.343994140625
s,130.636962890625
h,90.937255859375
e,201.874755859375
d,144.6669921875
f,201.92041015625
o,82.443603515625
r,89.445068359375
d,169.94775390625
e,93.0478515625
a,63.237060546875
t,108.30322265625
h,62.97265625
i,309.234130859375
n,108.637451171875
o,311.382080078125
r,61.34619140625
d,138.81494140625
e,89.761474609375
r,96.807861328125
t,223.44970703125
o,86.33251953125
k,280.9794921875
n,123.363037109375
o,154.268798828125
w,126.223388671875
h,251.908935546875
o,90.314208984375
w,153.958251953125
g,344.3916015625
o,62.225341796875
o,139.59375
d,93.323974609375
i,263.601806640625
t,108.275634765625
i,231.810302734375
i,669.7822265625
s,108.39599609375
t,305.763916015625
o,81.188720703125
l,291.824951171875
i,144.09619140625
v,95.23974609375
e,73.646240234375
.,124.4560546875
